label,metric,step,value,rolling_value
Tent (100%),batch_acc,62,64.0625,61.5625
Tent (100%),batch_acc,63,50.0,61.3125
Tent (100%),batch_acc,64,62.5,61.8125
Tent (100%),batch_acc,65,62.5,61.75
Tent (100%),batch_acc,66,56.25,61.8125
Tent (100%),batch_acc,67,67.1875,61.9375
Tent (100%),batch_acc,68,59.375,62.125
Tent (100%),batch_acc,69,56.25,61.75
Tent (100%),batch_acc,70,57.8125,61.375
Tent (100%),batch_acc,71,59.375,60.6875
Tent (100%),batch_acc,72,59.375,60.75
Tent (100%),batch_acc,73,64.0625,60.625
Tent (100%),batch_acc,74,65.625,60.625
Tent (100%),batch_acc,75,79.6875,61.1875
Tent (100%),batch_acc,76,65.625,61.375
Tent (100%),batch_acc,77,68.75,61.6875
Tent (100%),batch_acc,78,64.0625,61.75
Tent (100%),batch_acc,79,65.625,62.0
Tent (100%),batch_acc,80,68.75,62.5625
Tent (100%),batch_acc,81,67.1875,62.5
Tent (100%),batch_acc,82,65.625,62.4375
Tent (100%),batch_acc,83,68.75,62.75
Tent (100%),batch_acc,84,59.375,62.875
Tent (100%),batch_acc,85,65.625,63.25
Tent (100%),batch_acc,86,67.1875,63.625
Tent (100%),batch_acc,87,59.375,63.4375
Tent (100%),batch_acc,88,62.5,63.9375
Tent (100%),batch_acc,89,81.25,64.6875
Tent (100%),batch_acc,90,71.875,65.0625
Tent (100%),batch_acc,91,68.75,65.5625
Tent (100%),batch_acc,92,68.75,65.625
Tent (100%),batch_acc,93,68.75,66.0
Tent (100%),batch_acc,94,68.75,66.5
Tent (100%),batch_acc,95,65.625,66.8125
Tent+SAFER (0%),batch_acc,0,71.875,71.875
Tent+SAFER (0%),batch_acc,1,70.3125,71.09375
Tent+SAFER (0%),batch_acc,2,82.8125,75.0
Tent+SAFER (0%),batch_acc,3,84.375,77.34375
Tent+SAFER (0%),batch_acc,4,79.6875,77.8125
Tent+SAFER (0%),batch_acc,5,85.9375,79.16666666666667
Tent+SAFER (0%),batch_acc,6,82.8125,79.6875
Tent+SAFER (0%),batch_acc,7,84.375,80.2734375
Tent+SAFER (0%),batch_acc,8,76.5625,79.86111111111111
Tent+SAFER (0%),batch_acc,9,79.6875,79.84375
Tent+SAFER (0%),batch_acc,10,71.875,79.11931818181819
Tent+SAFER (0%),batch_acc,11,68.75,78.25520833333333
Tent+SAFER (0%),batch_acc,12,79.6875,78.36538461538461
Tent+SAFER (0%),batch_acc,13,82.8125,78.68303571428571
Tent+SAFER (0%),batch_acc,14,79.6875,78.75
Tent+SAFER (0%),batch_acc,15,79.6875,78.80859375
Tent+SAFER (0%),batch_acc,16,85.9375,79.2279411764706
Tent+SAFER (0%),batch_acc,17,78.125,79.16666666666667
Tent+SAFER (0%),batch_acc,18,90.625,79.76973684210526
Tent+SAFER (0%),batch_acc,19,81.25,79.84375
Tent+SAFER (0%),batch_acc,20,76.5625,79.6875
Tent+SAFER (0%),batch_acc,21,82.8125,79.82954545454545
Tent+SAFER (0%),batch_acc,22,78.125,79.7554347826087
Tent+SAFER (0%),batch_acc,23,81.25,79.81770833333333
Tent+SAFER (0%),batch_acc,24,71.875,79.5
Tent+SAFER (0%),batch_acc,25,84.375,80.0
Tent+SAFER (0%),batch_acc,26,82.8125,80.5
Tent+SAFER (0%),batch_acc,27,73.4375,80.125
Tent+SAFER (0%),batch_acc,28,76.5625,79.8125
Tent+SAFER (0%),batch_acc,29,84.375,80.0
Tent+SAFER (0%),batch_acc,30,87.5,80.0625
Tent+SAFER (0%),batch_acc,31,81.25,80.0
Tent+SAFER (0%),batch_acc,32,90.625,80.25
Tent+SAFER (0%),batch_acc,33,73.4375,80.125
Tent+SAFER (0%),batch_acc,34,85.9375,80.375
Tent+SAFER (0%),batch_acc,35,92.1875,81.1875
Tent+SAFER (0%),batch_acc,36,75.0,81.4375
Tent+SAFER (0%),batch_acc,37,70.3125,81.0625
Tent+SAFER (0%),batch_acc,38,76.5625,80.8125
Tent+SAFER (0%),batch_acc,39,84.375,81.0
Tent+SAFER (0%),batch_acc,40,81.25,81.0625
Tent+SAFER (0%),batch_acc,41,71.875,80.5
Tent+SAFER (0%),batch_acc,42,84.375,80.75
Tent+SAFER (0%),batch_acc,43,78.125,80.25
Tent+SAFER (0%),batch_acc,44,85.9375,80.4375
Tent+SAFER (0%),batch_acc,45,78.125,80.5
Tent+SAFER (0%),batch_acc,46,85.9375,80.625
Tent+SAFER (0%),batch_acc,47,76.5625,80.5625
Tent+SAFER (0%),batch_acc,48,84.375,80.6875
Tent+SAFER (0%),batch_acc,49,87.5,81.3125
Tent+SAFER (0%),batch_acc,50,79.6875,81.125
Tent+SAFER (0%),batch_acc,51,78.125,80.9375
Tent+SAFER (0%),batch_acc,52,81.25,81.25
