run_id	run_name	state	s_alpha_mode	s_alpha_signal	s_alpha_conf_threshold	s_alpha_attack_value	s_alpha_clean_value	s_alpha_attack_high_conf	s_alpha_transition_width	s_alpha_sigmoid_slope	acc_0	acc_100	alpha_mean	attack_detect_rate	alpha_signal_mean	prob_disagreement_mean	feat_disagreement_mean	orig_conf_mean	orig_margin_mean	orig_entropy_mean	final_orig_weight_mean	loss_orig_weight_mean
hwkw4k1g	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.5	0.75	1	0.1	10	62.58	26.21	0.6538462042808533	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.6538462042808533	0.20000000298023224
fo63dnho	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.5	1	1	0.1	10	61.78	24.21	0.8076923489570618	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.8076923489570618	0.20000000298023224
ldx0rvkf	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.75	0.25	1	0.1	10	63.68	34.02	0.442307710647583	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.442307710647583	0.20000000298023224
0hweg5vw	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.75	0.5	1	0.1	10	63.47	29.51	0.5961538553237915	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.5961538553237915	0.20000000298023224
ky2jjn4i	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.75	0.75	1	0.1	10	62.4	24.3	0.75	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.75	0.20000000298023224
90qhqc15	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.75	1	1	0.1	10	61.6	22.29	0.9038462042808532	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.9038462042808532	0.20000000298023224
e1lwkfsl	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0	0.25	1	0.1	10	57.03	52.75	0.1923076957464218	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.1923076957464218	0.20000000298023224
66bhg30t	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0	0.5	1	0.1	10	56.88	46.37	0.3846153914928436	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.3846153914928436	0.20000000298023224
9j0affkv	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0	0.75	1	0.1	10	55.75	40.08	0.5769230723381042	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.5769230723381042	0.20000000298023224
q0xe1lnk	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0	1	1	0.1	10	54.95	38.08	0.7692307829856873	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.7692307829856873	0.20000000298023224
8vgi8np3	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.25	0.25	1	0.1	10	61.09	48.3	0.25	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.25	0.20000000298023224
d6n7mwfy	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.25	0.5	1	0.1	10	60.94	41.93	0.442307710647583	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.442307710647583	0.20000000298023224
ew5n4bzc	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.25	0.75	1	0.1	10	59.82	35.64	0.634615421295166	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.634615421295166	0.20000000298023224
76deo9lo	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.25	1	1	0.1	10	59.01	33.63	0.826923131942749	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.826923131942749	0.20000000298023224
uzqvil7i	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.5	0.25	1	0.1	10	63.8	37.8	0.3076923191547394	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.3076923191547394	0.20000000298023224
pwrk9ond	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.5	0.5	1	0.1	10	63.65	31.43	0.5	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.5	0.20000000298023224
16rv6m4d	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.5	0.75	1	0.1	10	62.52	25.14	0.692307710647583	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.692307710647583	0.20000000298023224
i2bsnk9r	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.5	1	1	0.1	10	61.72	23.13	0.884615421295166	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.884615421295166	0.20000000298023224
9nw8yd2v	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.75	0.25	1	0.1	10	63.68	36.96	0.3653846383094787	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.3653846383094787	0.20000000298023224
nilrj3ul	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.75	0.5	1	0.1	10	63.53	30.59	0.5576923489570618	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.5576923489570618	0.20000000298023224
j4g58lay	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.75	0.75	1	0.1	10	62.4	24.3	0.75	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.75	0.20000000298023224
jd1le482	SAFER	finished	fixed_conf_threshold	orig_conf	0.9	0.75	1	1	0.1	10	61.6	22.29	0.942307710647583	0.23076924681663513	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.942307710647583	0.20000000298023224
84a378xq	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0	0.25	1	0.1	10	58.47	51.07	0.23076924681663513	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.23076924681663513	0.20000000298023224
89jglt2b	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0	0.5	1	0.1	10	59.13	40.03	0.46153849363327026	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.46153849363327026	0.20000000298023224
x1q36318	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0	0.75	1	0.1	10	57.9	33.05	0.692307710647583	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.692307710647583	0.20000000298023224
etkhhog6	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0	1	1	0.1	10	57.09	31.04	0.9230769872665404	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.9230769872665404	0.20000000298023224
n6sx5j54	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.25	0.25	1	0.1	10	61.09	48.3	0.25	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.25	0.20000000298023224
he9jy60o	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.25	0.5	1	0.1	10	61.76	37.26	0.48076924681663513	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.48076924681663513	0.20000000298023224
frw68hxn	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.25	0.75	1	0.1	10	60.53	30.28	0.7115384936332703	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.7115384936332703	0.20000000298023224
tcs080tb	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.25	1	1	0.1	10	59.72	28.27	0.942307710647583	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.942307710647583	0.20000000298023224
1g6wk7dr	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.5	0.25	1	0.1	10	62.99	42.47	0.26923078298568726	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.26923078298568726	0.20000000298023224
1784ugbf	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.5	0.5	1	0.1	10	63.65	31.43	0.5	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.5	0.20000000298023224
npmt0ojb	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.5	0.75	1	0.1	10	62.42	24.45	0.7307692766189575	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.7307692766189575	0.20000000298023224
5f4uv9cb	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.5	1	1	0.1	10	61.61	22.44	0.9615384936332704	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.9615384936332704	0.20000000298023224
kqymgei8	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.75	0.25	1	0.1	10	62.97	42.32	0.2884615361690521	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.2884615361690521	0.20000000298023224
tnajzmv6	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.75	0.5	1	0.1	10	63.63	31.27	0.5192307829856873	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.5192307829856873	0.20000000298023224
ne88m0db	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.75	0.75	1	0.1	10	62.4	24.3	0.75	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.75	0.20000000298023224
affqpzna	SAFER	finished	fixed_conf_threshold	orig_conf	0.99	0.75	1	1	0.1	10	61.6	22.29	0.9807692766189576	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.9807692766189576	0.20000000298023224
s6ekzizn	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0	0.25	1	0.1	10	59.72	49.74	0.23076924681663513	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.23076924681663513	0.20000000298023224
dy61uw4v	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0	0.5	1	0.1	10	61.49	35.93	0.46153849363327026	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.46153849363327026	0.20000000298023224
